Date, PDO from COBE https://psl.noaa.gov/pdo/ Using EOF from 1920 to 2014 for N Pacific (see webpage)
1891-01-01,   -0.089
1891-02-01,   -0.213
1891-03-01,   -0.083
1891-04-01,   -0.355
1891-05-01,   -0.355
1891-06-01,   -0.602
1891-07-01,   -0.375
1891-08-01,    0.661
1891-09-01,    0.497
1891-10-01,    0.118
1891-11-01,    0.059
1891-12-01,   -0.246
1892-01-01,   -1.266
1892-02-01,   -1.186
1892-03-01,   -0.299
1892-04-01,   -0.774
1892-05-01,   -0.990
1892-06-01,   -1.216
1892-07-01,   -1.424
1892-08-01,   -0.094
1892-09-01,   -0.976
1892-10-01,   -0.512
1892-11-01,   -0.537
1892-12-01,   -0.482
1893-01-01,   -0.729
1893-02-01,    0.051
1893-03-01,    0.040
1893-04-01,   -0.349
1893-05-01,   -0.385
1893-06-01,   -1.549
1893-07-01,   -1.285
1893-08-01,    0.284
1893-09-01,    0.077
1893-10-01,   -0.346
1893-11-01,   -0.447
1893-12-01,   -0.483
1894-01-01,   -0.890
1894-02-01,   -0.880
1894-03-01,   -0.949
1894-04-01,   -1.620
1894-05-01,   -1.533
1894-06-01,   -1.883
1894-07-01,   -2.010
1894-08-01,   -0.341
1894-09-01,   -1.154
1894-10-01,   -1.362
1894-11-01,   -0.692
1894-12-01,   -0.506
1895-01-01,   -0.401
1895-02-01,   -0.507
1895-03-01,   -0.278
1895-04-01,   -0.464
1895-05-01,   -0.755
1895-06-01,   -1.270
1895-07-01,    0.274
1895-08-01,    0.734
1895-09-01,    0.294
1895-10-01,   -0.149
1895-11-01,   -0.561
1895-12-01,   -0.620
1896-01-01,   -0.299
1896-02-01,   -0.392
1896-03-01,   -0.052
1896-04-01,   -0.676
1896-05-01,   -0.892
1896-06-01,   -0.990
1896-07-01,   -0.151
1896-08-01,    0.859
1896-09-01,    0.397
1896-10-01,    0.810
1896-11-01,    0.347
1896-12-01,    0.015
1897-01-01,    0.038
1897-02-01,   -0.320
1897-03-01,   -0.734
1897-04-01,   -0.944
1897-05-01,   -0.677
1897-06-01,   -0.008
1897-07-01,    0.672
1897-08-01,    0.622
1897-09-01,    0.533
1897-10-01,   -0.123
1897-11-01,   -1.039
1897-12-01,   -0.779
1898-01-01,   -0.730
1898-02-01,   -0.216
1898-03-01,   -0.829
1898-04-01,   -1.122
1898-05-01,   -0.169
1898-06-01,   -0.365
1898-07-01,   -0.069
1898-08-01,    0.237
1898-09-01,    1.110
1898-10-01,    0.643
1898-11-01,   -0.464
1898-12-01,    0.039
1899-01-01,   -0.407
1899-02-01,   -0.909
1899-03-01,   -0.193
1899-04-01,   -0.380
1899-05-01,   -0.098
1899-06-01,   -0.811
1899-07-01,   -0.507
1899-08-01,    0.172
1899-09-01,    0.444
1899-10-01,    0.248
1899-11-01,    0.604
1899-12-01,    0.612
1900-01-01,    0.743
1900-02-01,    0.088
1900-03-01,    0.210
1900-04-01,   -0.037
1900-05-01,    0.896
1900-06-01,   -0.024
1900-07-01,    0.745
1900-08-01,    1.169
1900-09-01,    0.791
1900-10-01,    0.092
1900-11-01,    0.151
1900-12-01,    0.804
1901-01-01,    1.063
1901-02-01,    0.235
1901-03-01,    0.710
1901-04-01,   -0.465
1901-05-01,   -0.939
1901-06-01,   -0.857
1901-07-01,   -0.545
1901-08-01,   -0.228
1901-09-01,   -0.283
1901-10-01,   -0.128
1901-11-01,   -0.515
1901-12-01,    0.322
1902-01-01,    0.429
1902-02-01,    0.705
1902-03-01,    0.361
1902-04-01,    0.298
1902-05-01,    0.442
1902-06-01,    0.081
1902-07-01,    1.781
1902-08-01,    1.654
1902-09-01,    0.666
1902-10-01,    0.585
1902-11-01,    0.522
1902-12-01,   -0.040
1903-01-01,   -0.170
1903-02-01,   -0.029
1903-03-01,   -0.098
1903-04-01,   -0.112
1903-05-01,    0.261
1903-06-01,   -0.048
1903-07-01,    0.375
1903-08-01,    1.482
1903-09-01,    0.328
1903-10-01,   -0.171
1903-11-01,    0.093
1903-12-01,    0.439
1904-01-01,    0.563
1904-02-01,   -0.122
1904-03-01,   -0.132
1904-04-01,   -0.273
1904-05-01,   -0.546
1904-06-01,   -0.903
1904-07-01,   -1.147
1904-08-01,   -0.017
1904-09-01,    1.273
1904-10-01,    0.679
1904-11-01,    0.476
1904-12-01,    0.798
1905-01-01,    0.990
1905-02-01,    1.048
1905-03-01,    1.965
1905-04-01,    1.373
1905-05-01,    1.391
1905-06-01,   -0.094
1905-07-01,    0.749
1905-08-01,    1.911
1905-09-01,    0.876
1905-10-01,    0.088
1905-11-01,    0.420
1905-12-01,   -0.189
1906-01-01,    0.583
1906-02-01,    0.797
1906-03-01,    0.285
1906-04-01,    0.278
1906-05-01,    1.020
1906-06-01,    0.204
1906-07-01,    0.231
1906-08-01,   -0.134
1906-09-01,    0.003
1906-10-01,   -0.061
1906-11-01,    0.161
1906-12-01,   -0.351
1907-01-01,   -0.442
1907-02-01,   -0.091
1907-03-01,   -0.513
1907-04-01,   -0.557
1907-05-01,   -0.542
1907-06-01,    0.487
1907-07-01,    0.820
1907-08-01,    0.014
1907-09-01,   -0.238
1907-10-01,    1.542
1907-11-01,    0.960
1907-12-01,    1.269
1908-01-01,    0.856
1908-02-01,    0.792
1908-03-01,    0.536
1908-04-01,    0.329
1908-05-01,   -0.132
1908-06-01,   -0.710
1908-07-01,    0.231
1908-08-01,   -0.341
1908-09-01,   -0.225
1908-10-01,   -0.043
1908-11-01,    0.866
1908-12-01,    1.245
1909-01-01,    0.058
1909-02-01,    0.650
1909-03-01,    0.583
1909-04-01,    0.055
1909-05-01,   -0.624
1909-06-01,   -0.724
1909-07-01,   -0.724
1909-08-01,   -1.010
1909-09-01,   -0.358
1909-10-01,   -0.265
1909-11-01,   -0.699
1909-12-01,   -1.356
1910-01-01,   -1.764
1910-02-01,   -1.205
1910-03-01,   -0.371
1910-04-01,   -0.220
1910-05-01,   -1.487
1910-06-01,   -0.580
1910-07-01,   -0.241
1910-08-01,    0.650
1910-09-01,    0.007
1910-10-01,   -0.751
1910-11-01,   -0.524
1910-12-01,    0.449
1911-01-01,   -0.197
1911-02-01,   -0.485
1911-03-01,   -1.059
1911-04-01,   -0.851
1911-05-01,   -0.563
1911-06-01,   -1.409
1911-07-01,   -0.603
1911-08-01,    0.512
1911-09-01,    0.698
1911-10-01,    0.132
1911-11-01,    0.124
1911-12-01,   -0.447
1912-01-01,    0.191
1912-02-01,    0.355
1912-03-01,   -0.269
1912-04-01,   -0.068
1912-05-01,    0.043
1912-06-01,   -0.161
1912-07-01,    0.513
1912-08-01,    0.334
1912-09-01,    1.142
1912-10-01,    0.770
1912-11-01,    0.086
1912-12-01,    0.490
1913-01-01,   -0.096
1913-02-01,    0.824
1913-03-01,   -0.162
1913-04-01,   -0.314
1913-05-01,    0.022
1913-06-01,   -0.097
1913-07-01,    0.855
1913-08-01,    1.300
1913-09-01,    0.919
1913-10-01,    0.611
1913-11-01,    0.547
1913-12-01,   -0.202
1914-01-01,   -0.107
1914-02-01,    0.240
1914-03-01,    0.818
1914-04-01,    1.137
1914-05-01,    0.441
1914-06-01,   -0.015
1914-07-01,   -0.849
1914-08-01,   -0.158
1914-09-01,   -0.118
1914-10-01,   -0.627
1914-11-01,    0.487
1914-12-01,    0.096
1915-01-01,   -0.139
1915-02-01,   -0.295
1915-03-01,    0.621
1915-04-01,    1.548
1915-05-01,    1.843
1915-06-01,    1.470
1915-07-01,    1.231
1915-08-01,    0.943
1915-09-01,    0.576
1915-10-01,   -0.407
1915-11-01,   -0.444
1915-12-01,   -0.305
1916-01-01,   -0.337
1916-02-01,   -0.422
1916-03-01,   -0.227
1916-04-01,   -0.043
1916-05-01,    0.332
1916-06-01,   -1.310
1916-07-01,   -1.064
1916-08-01,   -1.641
1916-09-01,   -1.119
1916-10-01,   -1.084
1916-11-01,   -1.743
1916-12-01,   -1.573
1917-01-01,   -1.332
1917-02-01,   -0.916
1917-03-01,   -1.601
1917-04-01,   -1.110
1917-05-01,   -0.944
1917-06-01,   -1.062
1917-07-01,   -0.670
1917-08-01,    0.020
1917-09-01,   -0.566
1917-10-01,   -0.839
1917-11-01,   -0.213
1917-12-01,    0.014
1918-01-01,    0.360
1918-02-01,   -0.175
1918-03-01,   -0.717
1918-04-01,   -0.467
1918-05-01,   -0.204
1918-06-01,   -0.220
1918-07-01,    0.742
1918-08-01,    0.832
1918-09-01,    0.893
1918-10-01,    1.056
1918-11-01,    0.961
1918-12-01,    0.950
1919-01-01,    1.282
1919-02-01,    0.791
1919-03-01,    0.154
1919-04-01,   -0.224
1919-05-01,   -0.297
1919-06-01,    0.147
1919-07-01,   -0.668
1919-08-01,   -0.164
1919-09-01,    0.197
1919-10-01,    0.263
1919-11-01,    0.326
1919-12-01,    0.593
1920-01-01,    0.296
1920-02-01,   -0.340
1920-03-01,    0.206
1920-04-01,   -0.366
1920-05-01,    0.057
1920-06-01,   -0.427
1920-07-01,   -0.594
1920-08-01,   -0.999
1920-09-01,   -0.856
1920-10-01,   -1.463
1920-11-01,   -0.394
1920-12-01,   -0.168
1921-01-01,   -0.486
1921-02-01,   -0.980
1921-03-01,   -0.638
1921-04-01,   -1.288
1921-05-01,   -1.360
1921-06-01,   -0.591
1921-07-01,   -1.124
1921-08-01,   -1.144
1921-09-01,   -1.061
1921-10-01,   -1.179
1921-11-01,   -0.174
1921-12-01,    0.252
1922-01-01,    0.121
1922-02-01,   -0.935
1922-03-01,   -1.018
1922-04-01,   -1.278
1922-05-01,   -1.399
1922-06-01,   -0.358
1922-07-01,   -0.274
1922-08-01,    0.215
1922-09-01,   -0.205
1922-10-01,    0.423
1922-11-01,   -0.500
1922-12-01,   -0.030
1923-01-01,    0.515
1923-02-01,   -0.223
1923-03-01,   -0.418
1923-04-01,    0.036
1923-05-01,    0.369
1923-06-01,   -0.506
1923-07-01,    0.591
1923-08-01,    0.724
1923-09-01,    0.202
1923-10-01,    0.944
1923-11-01,    0.248
1923-12-01,    0.036
1924-01-01,   -0.130
1924-02-01,   -0.086
1924-03-01,   -0.094
1924-04-01,   -0.746
1924-05-01,    0.008
1924-06-01,    0.164
1924-07-01,   -0.272
1924-08-01,   -0.678
1924-09-01,   -0.904
1924-10-01,   -1.381
1924-11-01,   -1.254
1924-12-01,   -0.419
1925-01-01,   -0.912
1925-02-01,   -0.526
1925-03-01,   -0.367
1925-04-01,   -0.685
1925-05-01,   -0.260
1925-06-01,   -0.225
1925-07-01,   -0.055
1925-08-01,    0.041
1925-09-01,    0.220
1925-10-01,    0.592
1925-11-01,    0.592
1925-12-01,    0.804
1926-01-01,    0.858
1926-02-01,    1.254
1926-03-01,    1.451
1926-04-01,    1.979
1926-05-01,    2.104
1926-06-01,    1.423
1926-07-01,    2.049
1926-08-01,    1.768
1926-09-01,    1.225
1926-10-01,    1.256
1926-11-01,    2.134
1926-12-01,    1.540
1927-01-01,    0.720
1927-02-01,    1.548
1927-03-01,    1.009
1927-04-01,    0.362
1927-05-01,    0.151
1927-06-01,    0.467
1927-07-01,    0.169
1927-08-01,   -0.183
1927-09-01,    0.228
1927-10-01,   -0.279
1927-11-01,    0.026
1927-12-01,   -0.357
1928-01-01,    0.446
1928-02-01,    0.633
1928-03-01,    1.139
1928-04-01,    0.772
1928-05-01,    0.484
1928-06-01,    1.261
1928-07-01,   -0.212
1928-08-01,   -0.224
1928-09-01,   -1.144
1928-10-01,   -0.754
1928-11-01,    0.559
1928-12-01,    0.699
1929-01-01,    0.529
1929-02-01,    0.075
1929-03-01,    0.112
1929-04-01,    0.117
1929-05-01,    0.419
1929-06-01,    0.358
1929-07-01,    0.294
1929-08-01,   -0.111
1929-09-01,    0.886
1929-10-01,    0.753
1929-11-01,    0.715
1929-12-01,    1.364
1930-01-01,    1.079
1930-02-01,    0.930
1930-03-01,    0.777
1930-04-01,    0.701
1930-05-01,    0.052
1930-06-01,   -0.126
1930-07-01,   -0.164
1930-08-01,    0.266
1930-09-01,    0.846
1930-10-01,    0.319
1930-11-01,    0.412
1930-12-01,    0.669
1931-01-01,    1.104
1931-02-01,    1.039
1931-03-01,    1.006
1931-04-01,    1.605
1931-05-01,    2.242
1931-06-01,    2.008
1931-07-01,    2.370
1931-08-01,    0.976
1931-09-01,    0.883
1931-10-01,    0.386
1931-11-01,    0.287
1931-12-01,   -0.194
1932-01-01,   -0.668
1932-02-01,   -0.949
1932-03-01,   -0.410
1932-04-01,    0.440
1932-05-01,    0.081
1932-06-01,   -0.219
1932-07-01,    0.117
1932-08-01,    0.009
1932-09-01,   -0.712
1932-10-01,    0.059
1932-11-01,   -0.200
1932-12-01,    0.164
1933-01-01,   -0.673
1933-02-01,   -0.666
1933-03-01,   -0.808
1933-04-01,   -0.896
1933-05-01,   -1.314
1933-06-01,   -2.156
1933-07-01,   -2.576
1933-08-01,   -1.821
1933-09-01,   -2.208
1933-10-01,   -1.194
1933-11-01,   -0.323
1933-12-01,   -0.363
1934-01-01,   -0.497
1934-02-01,    0.081
1934-03-01,    0.591
1934-04-01,    1.212
1934-05-01,    0.861
1934-06-01,    0.230
1934-07-01,    0.472
1934-08-01,    1.125
1934-09-01,    1.080
1934-10-01,    1.723
1934-11-01,    1.493
1934-12-01,    1.338
1935-01-01,    0.599
1935-02-01,    0.501
1935-03-01,   -0.193
1935-04-01,    0.354
1935-05-01,    0.908
1935-06-01,    1.301
1935-07-01,    0.528
1935-08-01,    0.475
1935-09-01,    0.477
1935-10-01,    0.469
1935-11-01,    0.428
1935-12-01,    1.257
1936-01-01,    1.630
1936-02-01,    1.528
1936-03-01,    0.955
1936-04-01,    0.915
1936-05-01,    1.483
1936-06-01,    1.611
1936-07-01,    2.146
1936-08-01,    2.020
1936-09-01,    0.827
1936-10-01,    1.854
1936-11-01,    2.316
1936-12-01,    1.325
1937-01-01,    0.073
1937-02-01,   -0.398
1937-03-01,   -0.169
1937-04-01,   -0.623
1937-05-01,   -0.288
1937-06-01,    1.031
1937-07-01,    0.211
1937-08-01,   -0.507
1937-09-01,    0.077
1937-10-01,    0.513
1937-11-01,    0.622
1937-12-01,    1.159
1938-01-01,    1.142
1938-02-01,    0.236
1938-03-01,   -0.039
1938-04-01,    0.026
1938-05-01,   -0.165
1938-06-01,   -0.342
1938-07-01,   -0.458
1938-08-01,   -0.217
1938-09-01,    0.054
1938-10-01,    0.710
1938-11-01,    0.321
1938-12-01,    0.570
1939-01-01,    0.529
1939-02-01,   -0.121
1939-03-01,   -0.656
1939-04-01,   -0.147
1939-05-01,   -0.088
1939-06-01,    0.093
1939-07-01,   -0.443
1939-08-01,   -0.678
1939-09-01,   -0.893
1939-10-01,   -0.850
1939-11-01,   -0.415
1939-12-01,    1.538
1940-01-01,    1.914
1940-02-01,    1.905
1940-03-01,    1.851
1940-04-01,    2.064
1940-05-01,    1.979
1940-06-01,    2.358
1940-07-01,    2.078
1940-08-01,    1.779
1940-09-01,    1.557
1940-10-01,    1.607
1940-11-01,    1.586
1940-12-01,    2.260
1941-01-01,    2.417
1941-02-01,    2.811
1941-03-01,    2.267
1941-04-01,    2.298
1941-05-01,    2.365
1941-06-01,    2.824
1941-07-01,    2.603
1941-08-01,    2.979
1941-09-01,    2.256
1941-10-01,    1.344
1941-11-01,    1.803
1941-12-01,    1.649
1942-01-01,    1.902
1942-02-01,    0.538
1942-03-01,    0.178
1942-04-01,    1.158
1942-05-01,    0.738
1942-06-01,    0.509
1942-07-01,    0.232
1942-08-01,    0.650
1942-09-01,    0.420
1942-10-01,    0.111
1942-11-01,   -0.550
1942-12-01,   -0.967
1943-01-01,   -0.292
1943-02-01,   -0.432
1943-03-01,   -0.362
1943-04-01,    0.181
1943-05-01,    0.140
1943-06-01,    0.157
1943-07-01,   -0.611
1943-08-01,   -0.880
1943-09-01,   -0.443
1943-10-01,   -0.501
1943-11-01,   -0.147
1943-12-01,    0.663
1944-01-01,    0.163
1944-02-01,   -0.186
1944-03-01,   -0.037
1944-04-01,   -0.563
1944-05-01,   -0.701
1944-06-01,   -1.094
1944-07-01,   -0.468
1944-08-01,   -0.667
1944-09-01,   -0.562
1944-10-01,   -0.966
1944-11-01,    0.159
1944-12-01,   -1.055
1945-01-01,   -0.538
1945-02-01,    0.261
1945-03-01,   -1.270
1945-04-01,   -0.426
1945-05-01,   -0.525
1945-06-01,    0.258
1945-07-01,    0.620
1945-08-01,   -0.017
1945-09-01,   -0.263
1945-10-01,    0.118
1945-11-01,   -1.067
1945-12-01,   -1.302
1946-01-01,   -0.017
1946-02-01,    0.019
1946-03-01,   -0.630
1946-04-01,   -0.585
1946-05-01,   -0.921
1946-06-01,    0.282
1946-07-01,    0.828
1946-08-01,   -0.007
1946-09-01,    0.010
1946-10-01,   -0.319
1946-11-01,   -1.010
1946-12-01,   -0.926
1947-01-01,   -1.230
1947-02-01,   -0.927
1947-03-01,    0.334
1947-04-01,    0.472
1947-05-01,   -0.071
1947-06-01,    0.655
1947-07-01,    0.249
1947-08-01,    0.266
1947-09-01,    0.483
1947-10-01,    0.831
1947-11-01,    0.403
1947-12-01,    0.564
1948-01-01,    0.370
1948-02-01,   -0.900
1948-03-01,   -0.635
1948-04-01,   -0.930
1948-05-01,   -0.968
1948-06-01,   -0.889
1948-07-01,   -0.294
1948-08-01,   -1.347
1948-09-01,   -0.680
1948-10-01,   -1.243
1948-11-01,   -0.487
1948-12-01,   -0.476
1949-01-01,   -2.676
1949-02-01,   -2.970
1949-03-01,   -1.728
1949-04-01,   -1.440
1949-05-01,   -1.154
1949-06-01,   -0.668
1949-07-01,   -0.858
1949-08-01,   -1.234
1949-09-01,   -0.851
1949-10-01,   -1.385
1949-11-01,   -0.911
1949-12-01,   -0.830
1950-01-01,   -1.533
1950-02-01,   -1.884
1950-03-01,   -1.594
1950-04-01,   -1.550
1950-05-01,   -2.470
1950-06-01,   -1.789
1950-07-01,   -2.609
1950-08-01,   -1.876
1950-09-01,   -1.508
1950-10-01,   -1.278
1950-11-01,   -1.442
1950-12-01,   -0.873
1951-01-01,   -0.898
1951-02-01,   -1.286
1951-03-01,   -1.484
1951-04-01,   -1.123
1951-05-01,   -0.728
1951-06-01,   -0.799
1951-07-01,    0.223
1951-08-01,   -0.693
1951-09-01,    0.025
1951-10-01,    0.339
1951-11-01,   -0.270
1951-12-01,   -1.169
1952-01-01,   -2.104
1952-02-01,   -1.306
1952-03-01,   -1.399
1952-04-01,   -1.677
1952-05-01,   -1.546
1952-06-01,   -1.882
1952-07-01,   -1.518
1952-08-01,   -0.566
1952-09-01,   -0.742
1952-10-01,   -0.010
1952-11-01,   -0.059
1952-12-01,   -0.888
1953-01-01,   -0.251
1953-02-01,   -0.385
1953-03-01,   -1.052
1953-04-01,   -0.497
1953-05-01,   -0.289
1953-06-01,   -0.562
1953-07-01,    0.008
1953-08-01,   -0.517
1953-09-01,   -0.464
1953-10-01,   -0.866
1953-11-01,   -0.370
1953-12-01,   -0.143
1954-01-01,   -0.830
1954-02-01,   -0.692
1954-03-01,   -0.825
1954-04-01,   -0.853
1954-05-01,   -0.177
1954-06-01,    0.331
1954-07-01,    0.281
1954-08-01,    0.040
1954-09-01,   -0.530
1954-10-01,    0.129
1954-11-01,    0.816
1954-12-01,    0.340
1955-01-01,   -0.364
1955-02-01,   -0.980
1955-03-01,   -1.111
1955-04-01,   -1.733
1955-05-01,   -1.676
1955-06-01,   -2.379
1955-07-01,   -2.344
1955-08-01,   -2.166
1955-09-01,   -2.008
1955-10-01,   -2.996
1955-11-01,   -2.291
1955-12-01,   -1.829
1956-01-01,   -1.782
1956-02-01,   -1.897
1956-03-01,   -2.403
