Date, PDO from HadISST 1.1 https://www.esrl.noaa.gov/psd/pdo/ Using EOF from 1920 to 2014 for N Pacific (see webpage)
1870-01-01,    0.263
1870-02-01,   -0.273
1870-03-01,   -0.187
1870-04-01,   -1.026
1870-05-01,   -1.146
1870-06-01,   -0.804
1870-07-01,   -0.598
1870-08-01,   -0.680
1870-09-01,   -0.323
1870-10-01,   -0.599
1870-11-01,   -0.729
1870-12-01,   -1.096
1871-01-01,   -0.378
1871-02-01,   -0.523
1871-03-01,   -0.060
1871-04-01,   -1.010
1871-05-01,   -1.156
1871-06-01,   -1.635
1871-07-01,   -1.091
1871-08-01,   -0.729
1871-09-01,   -0.532
1871-10-01,   -0.206
1871-11-01,   -0.120
1871-12-01,   -0.301
1872-01-01,   -0.887
1872-02-01,   -1.393
1872-03-01,   -0.506
1872-04-01,   -0.596
1872-05-01,   -0.128
1872-06-01,   -0.426
1872-07-01,   -0.098
1872-08-01,   -0.974
1872-09-01,   -0.555
1872-10-01,   -1.018
1872-11-01,   -0.749
1872-12-01,   -1.123
1873-01-01,   -0.952
1873-02-01,   -0.943
1873-03-01,   -1.188
1873-04-01,   -0.463
1873-05-01,   -0.348
1873-06-01,   -0.239
1873-07-01,   -0.143
1873-08-01,   -0.614
1873-09-01,   -1.073
1873-10-01,   -0.522
1873-11-01,   -1.062
1873-12-01,   -1.371
1874-01-01,   -1.041
1874-02-01,   -1.224
1874-03-01,   -0.996
1874-04-01,   -0.794
1874-05-01,   -0.914
1874-06-01,   -0.624
1874-07-01,   -0.770
1874-08-01,   -1.392
1874-09-01,   -1.590
1874-10-01,   -1.368
1874-11-01,   -1.056
1874-12-01,   -0.963
1875-01-01,   -0.657
1875-02-01,   -1.200
1875-03-01,   -0.941
1875-04-01,   -0.967
1875-05-01,   -1.589
1875-06-01,   -0.808
1875-07-01,   -0.608
1875-08-01,   -0.447
1875-09-01,   -0.551
1875-10-01,   -0.199
1875-11-01,    0.517
1875-12-01,   -0.713
1876-01-01,   -0.652
1876-02-01,   -1.056
1876-03-01,   -1.281
1876-04-01,   -1.121
1876-05-01,   -1.175
1876-06-01,   -1.029
1876-07-01,   -1.051
1876-08-01,   -1.269
1876-09-01,   -0.624
1876-10-01,    0.482
1876-11-01,    1.056
1876-12-01,    0.653
1877-01-01,    0.704
1877-02-01,    0.080
1877-03-01,    0.445
1877-04-01,    0.391
1877-05-01,    0.619
1877-06-01,    0.736
1877-07-01,    2.600
1877-08-01,    1.483
1877-09-01,    1.925
1877-10-01,    1.403
1877-11-01,    1.189
1877-12-01,    1.243
1878-01-01,    1.250
1878-02-01,    1.568
1878-03-01,    1.279
1878-04-01,    1.429
1878-05-01,    1.189
1878-06-01,    0.918
1878-07-01,    1.070
1878-08-01,    0.674
1878-09-01,    0.028
1878-10-01,   -0.115
1878-11-01,    0.033
1878-12-01,    0.499
1879-01-01,    0.870
1879-02-01,    0.524
1879-03-01,    0.632
1879-04-01,   -0.146
1879-05-01,   -0.539
1879-06-01,   -1.167
1879-07-01,   -0.823
1879-08-01,   -0.428
1879-09-01,   -0.148
1879-10-01,    0.102
1879-11-01,   -0.571
1879-12-01,    0.221
1880-01-01,   -0.045
1880-02-01,   -0.907
1880-03-01,   -1.308
1880-04-01,   -1.501
1880-05-01,   -1.857
1880-06-01,   -1.460
1880-07-01,   -0.913
1880-08-01,   -0.672
1880-09-01,   -0.614
1880-10-01,   -0.152
1880-11-01,    0.081
1880-12-01,   -0.263
1881-01-01,   -0.172
1881-02-01,   -0.079
1881-03-01,    0.463
1881-04-01,    0.788
1881-05-01,    0.930
1881-06-01,    0.481
1881-07-01,    0.176
1881-08-01,   -0.536
1881-09-01,   -0.005
1881-10-01,   -0.240
1881-11-01,   -0.437
1881-12-01,   -0.794
1882-01-01,   -1.113
1882-02-01,   -1.366
1882-03-01,   -1.378
1882-04-01,   -1.032
1882-05-01,   -0.568
1882-06-01,   -0.562
1882-07-01,   -1.119
1882-08-01,   -0.701
1882-09-01,   -0.729
1882-10-01,   -0.657
1882-11-01,   -0.473
1882-12-01,   -0.360
1883-01-01,   -0.056
1883-02-01,   -0.713
1883-03-01,   -0.734
1883-04-01,    0.058
1883-05-01,   -0.145
1883-06-01,    0.007
1883-07-01,   -0.488
1883-08-01,   -0.266
1883-09-01,   -0.052
1883-10-01,   -0.456
1883-11-01,   -0.323
1883-12-01,   -0.813
1884-01-01,   -1.175
1884-02-01,   -1.807
1884-03-01,   -0.851
1884-04-01,   -0.074
1884-05-01,    0.253
1884-06-01,    0.274
1884-07-01,    0.645
1884-08-01,    0.942
1884-09-01,    0.776
1884-10-01,    0.738
1884-11-01,    1.104
1884-12-01,    1.410
1885-01-01,    1.513
1885-02-01,    0.858
1885-03-01,    1.309
1885-04-01,    1.245
1885-05-01,    1.337
1885-06-01,    1.143
1885-07-01,    0.968
1885-08-01,    1.389
1885-09-01,    1.466
1885-10-01,    1.526
1885-11-01,    1.303
1885-12-01,    1.095
1886-01-01,    1.155
1886-02-01,    0.949
1886-03-01,    0.445
1886-04-01,    0.456
1886-05-01,   -0.818
1886-06-01,   -0.988
1886-07-01,   -0.120
1886-08-01,    0.135
1886-09-01,    0.271
1886-10-01,    0.306
1886-11-01,    0.012
1886-12-01,   -0.025
1887-01-01,   -0.057
1887-02-01,   -0.133
1887-03-01,   -0.184
1887-04-01,   -0.521
1887-05-01,   -0.169
1887-06-01,   -0.072
1887-07-01,   -0.549
1887-08-01,   -0.983
1887-09-01,   -0.772
1887-10-01,   -0.338
1887-11-01,    0.229
1887-12-01,   -0.316
1888-01-01,   -0.312
1888-02-01,    0.542
1888-03-01,    0.290
1888-04-01,    0.368
1888-05-01,    1.196
1888-06-01,    1.572
1888-07-01,    0.960
1888-08-01,    0.662
1888-09-01,    1.647
1888-10-01,    1.983
1888-11-01,    1.123
1888-12-01,    1.384
1889-01-01,    1.058
1889-02-01,    0.401
1889-03-01,    0.401
1889-04-01,    1.183
1889-05-01,    1.276
1889-06-01,    0.315
1889-07-01,    0.743
1889-08-01,    0.199
1889-09-01,   -0.040
1889-10-01,   -0.385
1889-11-01,    0.320
1889-12-01,   -0.777
1890-01-01,   -1.703
1890-02-01,   -1.443
1890-03-01,   -0.696
1890-04-01,   -0.624
1890-05-01,   -0.988
1890-06-01,   -1.316
1890-07-01,   -0.832
1890-08-01,   -0.152
1890-09-01,   -0.431
1890-10-01,   -0.194
1890-11-01,    0.252
1890-12-01,    0.186
1891-01-01,    0.093
1891-02-01,   -0.246
1891-03-01,    0.179
1891-04-01,    0.011
1891-05-01,    0.064
1891-06-01,    0.274
1891-07-01,    0.295
1891-08-01,    0.083
1891-09-01,    0.039
1891-10-01,    0.491
1891-11-01,   -0.062
1891-12-01,    0.062
1892-01-01,    0.087
1892-02-01,   -0.019
1892-03-01,   -0.126
1892-04-01,   -0.064
1892-05-01,   -0.681
1892-06-01,   -0.612
1892-07-01,   -0.593
1892-08-01,   -0.685
1892-09-01,   -0.376
1892-10-01,   -0.595
1892-11-01,    0.071
1892-12-01,   -0.140
1893-01-01,    0.249
1893-02-01,   -0.557
1893-03-01,   -1.012
1893-04-01,   -0.628
1893-05-01,   -1.242
1893-06-01,   -0.728
1893-07-01,   -0.510
1893-08-01,   -0.784
1893-09-01,   -0.925
1893-10-01,   -0.997
1893-11-01,   -0.881
1893-12-01,   -1.037
1894-01-01,   -0.749
1894-02-01,   -0.804
1894-03-01,   -1.537
1894-04-01,   -1.600
1894-05-01,   -1.876
1894-06-01,   -1.789
1894-07-01,   -1.462
1894-08-01,   -1.568
1894-09-01,   -1.874
1894-10-01,   -1.787
1894-11-01,   -1.489
1894-12-01,    0.067
1895-01-01,    0.454
1895-02-01,    0.539
1895-03-01,    0.584
1895-04-01,    0.140
1895-05-01,   -0.048
1895-06-01,   -0.126
1895-07-01,   -0.569
1895-08-01,   -0.578
1895-09-01,   -0.019
1895-10-01,    0.774
1895-11-01,    0.425
1895-12-01,    0.390
1896-01-01,    0.571
1896-02-01,    0.668
1896-03-01,    0.058
1896-04-01,   -0.305
1896-05-01,   -0.479
1896-06-01,   -0.043
1896-07-01,    0.343
1896-08-01,    0.588
1896-09-01,    1.722
1896-10-01,    1.496
1896-11-01,   -0.061
1896-12-01,    0.455
1897-01-01,    0.861
1897-02-01,    0.840
1897-03-01,    0.245
1897-04-01,    0.544
1897-05-01,    0.823
1897-06-01,    1.154
1897-07-01,    0.929
1897-08-01,    0.677
1897-09-01,    0.715
1897-10-01,    1.030
1897-11-01,    0.335
1897-12-01,   -0.356
1898-01-01,   -0.826
1898-02-01,   -0.739
1898-03-01,   -0.508
1898-04-01,   -0.349
1898-05-01,   -0.443
1898-06-01,   -0.557
1898-07-01,   -0.261
1898-08-01,    0.102
1898-09-01,   -0.255
1898-10-01,   -1.023
1898-11-01,   -0.098
1898-12-01,    0.588
1899-01-01,   -0.101
1899-02-01,   -0.884
1899-03-01,   -0.719
1899-04-01,   -0.702
1899-05-01,   -0.401
1899-06-01,   -0.253
1899-07-01,   -1.123
1899-08-01,    0.544
1899-09-01,    1.252
1899-10-01,   -0.232
1899-11-01,    0.857
1899-12-01,    1.198
1900-01-01,    0.976
1900-02-01,    0.915
1900-03-01,    0.845
1900-04-01,    1.228
1900-05-01,    0.753
1900-06-01,    0.912
1900-07-01,    1.393
1900-08-01,    1.225
1900-09-01,    0.996
1900-10-01,    0.446
1900-11-01,   -0.123
1900-12-01,    1.542
1901-01-01,    0.987
1901-02-01,    1.016
1901-03-01,    0.694
1901-04-01,    0.198
1901-05-01,   -0.375
1901-06-01,   -0.686
1901-07-01,   -0.510
1901-08-01,   -0.586
1901-09-01,    0.186
1901-10-01,    0.484
1901-11-01,    0.290
1901-12-01,    0.633
1902-01-01,    0.510
1902-02-01,    0.758
1902-03-01,    0.829
1902-04-01,    1.720
1902-05-01,    0.595
1902-06-01,    1.258
1902-07-01,    2.380
1902-08-01,    1.046
1902-09-01,    0.591
1902-10-01,    0.633
1902-11-01,    0.057
1902-12-01,    0.140
1903-01-01,   -0.134
1903-02-01,   -0.327
1903-03-01,    0.121
1903-04-01,   -0.640
1903-05-01,    0.675
1903-06-01,   -0.063
1903-07-01,    1.076
1903-08-01,    0.721
1903-09-01,    0.696
1903-10-01,   -0.068
1903-11-01,   -0.422
1903-12-01,    0.566
1904-01-01,    0.070
1904-02-01,   -1.043
1904-03-01,   -0.678
1904-04-01,   -0.841
1904-05-01,   -0.675
1904-06-01,   -0.128
1904-07-01,   -0.168
1904-08-01,    0.949
1904-09-01,    0.910
1904-10-01,    0.144
1904-11-01,    0.889
1904-12-01,    0.981
1905-01-01,    0.844
1905-02-01,    1.478
1905-03-01,    2.085
1905-04-01,    1.437
1905-05-01,    0.760
1905-06-01,    1.319
1905-07-01,    0.644
1905-08-01,    1.991
1905-09-01,    0.132
1905-10-01,    0.263
1905-11-01,    0.961
1905-12-01,    0.488
1906-01-01,    0.849
1906-02-01,    1.101
1906-03-01,    1.174
1906-04-01,    1.318
1906-05-01,    0.756
1906-06-01,    0.497
1906-07-01,   -0.391
1906-08-01,   -0.825
1906-09-01,   -1.521
1906-10-01,   -0.113
1906-11-01,    0.957
1906-12-01,   -0.080
1907-01-01,   -0.987
1907-02-01,    0.299
1907-03-01,   -0.457
1907-04-01,   -1.066
1907-05-01,   -0.475
1907-06-01,    0.065
1907-07-01,    0.183
1907-08-01,   -0.736
1907-09-01,   -0.431
1907-10-01,    0.220
1907-11-01,   -0.165
1907-12-01,    0.293
1908-01-01,    0.255
1908-02-01,    0.167
1908-03-01,    0.799
1908-04-01,   -0.072
1908-05-01,   -0.195
1908-06-01,    0.264
1908-07-01,    0.136
1908-08-01,   -1.827
1908-09-01,   -0.979
1908-10-01,   -0.681
1908-11-01,   -0.693
1908-12-01,   -0.043
1909-01-01,   -0.006
1909-02-01,   -0.622
1909-03-01,   -0.155
1909-04-01,   -0.376
1909-05-01,   -0.228
1909-06-01,   -0.429
1909-07-01,   -0.687
1909-08-01,   -1.015
1909-09-01,   -2.020
1909-10-01,   -1.510
1909-11-01,   -1.671
1909-12-01,   -1.277
1910-01-01,   -1.855
1910-02-01,   -0.711
1910-03-01,    0.002
1910-04-01,   -0.860
1910-05-01,   -1.077
1910-06-01,   -1.994
1910-07-01,   -0.691
1910-08-01,   -1.815
1910-09-01,   -1.596
1910-10-01,   -1.572
1910-11-01,   -1.076
1910-12-01,   -0.081
1911-01-01,   -0.229
1911-02-01,   -1.027
1911-03-01,   -0.509
1911-04-01,   -0.735
1911-05-01,   -0.736
1911-06-01,   -0.884
1911-07-01,   -0.373
1911-08-01,   -0.628
1911-09-01,   -0.772
1911-10-01,   -0.946
1911-11-01,   -0.676
1911-12-01,    0.187
1912-01-01,   -0.132
1912-02-01,    0.046
1912-03-01,   -0.152
1912-04-01,   -0.206
1912-05-01,   -0.321
1912-06-01,   -0.089
1912-07-01,    0.573
1912-08-01,   -0.187
1912-09-01,    0.155
1912-10-01,   -0.055
1912-11-01,   -0.062
1912-12-01,   -0.663
1913-01-01,   -0.857
1913-02-01,    0.423
1913-03-01,   -0.117
1913-04-01,   -1.120
1913-05-01,   -1.174
1913-06-01,   -0.092
1913-07-01,   -0.178
1913-08-01,   -0.134
1913-09-01,   -0.744
1913-10-01,    0.396
1913-11-01,   -0.127
1913-12-01,    0.356
1914-01-01,    0.627
1914-02-01,    0.104
1914-03-01,    0.270
1914-04-01,    0.803
1914-05-01,   -0.262
1914-06-01,   -1.095
1914-07-01,   -1.782
1914-08-01,   -0.669
1914-09-01,   -0.935
1914-10-01,   -0.887
1914-11-01,   -0.764
1914-12-01,    0.143
1915-01-01,    0.865
1915-02-01,    0.724
1915-03-01,    1.339
1915-04-01,    1.177
1915-05-01,    1.507
1915-06-01,    1.587
1915-07-01,    1.034
1915-08-01,    0.295
1915-09-01,   -0.419
1915-10-01,   -0.683
1915-11-01,   -0.531
1915-12-01,   -0.333
1916-01-01,   -0.231
1916-02-01,   -0.292
1916-03-01,   -0.167
1916-04-01,   -0.267
1916-05-01,   -0.393
1916-06-01,   -0.448
1916-07-01,   -0.831
1916-08-01,   -0.828
1916-09-01,   -0.919
1916-10-01,   -0.857
1916-11-01,   -1.285
1916-12-01,   -1.044
1917-01-01,   -0.961
1917-02-01,   -0.999
1917-03-01,   -0.960
1917-04-01,   -0.755
1917-05-01,   -0.810
1917-06-01,   -0.531
1917-07-01,   -0.136
1917-08-01,    0.059
1917-09-01,   -0.212
1917-10-01,   -0.388
1917-11-01,   -0.569
1917-12-01,   -0.198
1918-01-01,   -0.017
1918-02-01,   -0.298
1918-03-01,   -0.266
1918-04-01,   -0.690
1918-05-01,   -0.326
1918-06-01,    0.260
1918-07-01,    0.711
1918-08-01,    0.705
1918-09-01,    1.170
1918-10-01,    1.642
1918-11-01,    1.498
1918-12-01,    1.133
1919-01-01,    1.474
1919-02-01,    0.734
1919-03-01,    0.294
1919-04-01,    0.229
1919-05-01,    0.053
1919-06-01,   -0.139
1919-07-01,   -0.250
1919-08-01,    0.106
1919-09-01,    0.350
1919-10-01,    0.592
1919-11-01,    0.228
1919-12-01,    0.432
1920-01-01,    0.208
1920-02-01,   -0.364
1920-03-01,   -1.232
1920-04-01,   -1.122
1920-05-01,   -0.311
1920-06-01,   -0.474
1920-07-01,    0.084
1920-08-01,   -0.947
1920-09-01,   -1.122
1920-10-01,   -1.270
1920-11-01,   -0.708
1920-12-01,   -0.609
1921-01-01,   -0.318
1921-02-01,   -0.575
1921-03-01,   -0.744
1921-04-01,   -1.192
1921-05-01,   -1.593
1921-06-01,   -1.218
1921-07-01,   -1.725
1921-08-01,   -0.795
1921-09-01,   -0.986
1921-10-01,   -0.328
1921-11-01,    0.681
1921-12-01,    0.641
1922-01-01,    0.109
1922-02-01,   -0.839
1922-03-01,   -0.558
1922-04-01,   -0.657
1922-05-01,   -0.981
1922-06-01,   -1.085
1922-07-01,   -0.487
1922-08-01,   -0.971
1922-09-01,   -0.580
1922-10-01,    0.076
1922-11-01,   -0.273
1922-12-01,    0.068
1923-01-01,   -0.061
1923-02-01,    0.009
1923-03-01,   -0.043
1923-04-01,    0.089
1923-05-01,   -0.147
1923-06-01,   -0.043
1923-07-01,    0.374
1923-08-01,   -0.234
1923-09-01,   -0.400
1923-10-01,    0.767
1923-11-01,    1.071
1923-12-01,    0.098
1924-01-01,    0.367
1924-02-01,    0.777
1924-03-01,    0.390
1924-04-01,    0.426
1924-05-01,   -0.395
1924-06-01,    0.208
1924-07-01,   -0.659
1924-08-01,   -0.740
1924-09-01,   -0.638
1924-10-01,   -1.071
1924-11-01,   -0.141
1924-12-01,    0.372
1925-01-01,   -0.071
1925-02-01,    0.187
1925-03-01,   -0.023
1925-04-01,    0.486
1925-05-01,   -0.230
1925-06-01,   -1.360
1925-07-01,   -0.245
1925-08-01,   -1.271
1925-09-01,   -0.184
1925-10-01,    0.792
1925-11-01,    1.157
1925-12-01,    1.483
1926-01-01,    2.179
1926-02-01,    1.773
1926-03-01,    1.353
1926-04-01,    1.459
1926-05-01,    1.601
1926-06-01,    1.630
1926-07-01,    1.050
1926-08-01,    0.511
1926-09-01,    0.475
1926-10-01,    0.817
1926-11-01,    1.836
1926-12-01,    1.731
1927-01-01,    1.529
1927-02-01,    1.934
1927-03-01,    1.268
1927-04-01,    0.913
1927-05-01,   -0.332
1927-06-01,    0.340
1927-07-01,   -0.618
1927-08-01,   -0.899
1927-09-01,   -0.801
1927-10-01,   -0.540
1927-11-01,   -0.157
1927-12-01,   -0.355
1928-01-01,    0.634
1928-02-01,    0.867
1928-03-01,    0.693
1928-04-01,    0.619
1928-05-01,    0.510
1928-06-01,    0.525
1928-07-01,    0.230
1928-08-01,   -0.448
1928-09-01,   -1.111
1928-10-01,   -0.654
1928-11-01,   -0.138
1928-12-01,    0.149
1929-01-01,    0.232
1929-02-01,   -0.078
1929-03-01,    0.175
1929-04-01,   -0.187
1929-05-01,    0.607
1929-06-01,   -0.184
1929-07-01,    0.190
1929-08-01,   -0.223
1929-09-01,    1.101
1929-10-01,    0.356
1929-11-01,    0.819
1929-12-01,    1.057
1930-01-01,    0.416
1930-02-01,    0.603
1930-03-01,    0.267
1930-04-01,   -0.148
1930-05-01,   -0.498
1930-06-01,    0.021
1930-07-01,   -0.784
1930-08-01,    0.501
1930-09-01,    0.448
1930-10-01,    0.633
1930-11-01,    0.577
1930-12-01,    0.753
1931-01-01,    1.523
1931-02-01,    1.950
1931-03-01,    2.063
1931-04-01,    1.683
1931-05-01,    1.860
1931-06-01,    1.540
1931-07-01,    1.561
1931-08-01,    1.089
1931-09-01,    0.867
1931-10-01,    0.641
1931-11-01,    0.355
1931-12-01,    0.169
1932-01-01,   -0.505
1932-02-01,   -0.316
1932-03-01,    0.455
1932-04-01,    1.031
1932-05-01,   -0.292
1932-06-01,   -0.161
1932-07-01,   -0.235
1932-08-01,   -0.145
1932-09-01,   -0.472
1932-10-01,    0.111
1932-11-01,    0.016
1932-12-01,    0.140
1933-01-01,   -0.236
1933-02-01,   -0.630
1933-03-01,   -0.475
1933-04-01,   -0.615
1933-05-01,   -1.066
1933-06-01,   -1.452
1933-07-01,   -2.297
1933-08-01,   -1.764
1933-09-01,   -1.818
1933-10-01,   -0.849
1933-11-01,    0.057
1933-12-01,   -0.211
1934-01-01,   -0.127
1934-02-01,    0.475
1934-03-01,    1.035
1934-04-01,    1.429
1934-05-01,    1.000
1934-06-01,    0.114
1934-07-01,   -0.173
1934-08-01,    0.841
1934-09-01,    0.767
1934-10-01,    1.441
1934-11-01,    1.700
1934-12-01,    1.524
1935-01-01,    0.771
1935-02-01,    0.594
1935-03-01,   -0.003
1935-04-01,    0.382
1935-05-01,    0.519
1935-06-01,    0.840
1935-07-01,    0.118
1935-08-01,    0.252
1935-09-01,    0.356
1935-10-01,    0.649
1935-11-01,    0.226
1935-12-01,    1.307
1936-01-01,    1.693
1936-02-01,    1.546
1936-03-01,    1.291
1936-04-01,    1.198
1936-05-01,    1.590
1936-06-01,    1.753
1936-07-01,    1.834
1936-08-01,    1.075
1936-09-01,    0.232
1936-10-01,    2.027
1936-11-01,    2.080
1936-12-01,    1.464
1937-01-01,    0.181
1937-02-01,   -0.081
1937-03-01,   -0.206
1937-04-01,   -0.491
1937-05-01,   -0.143
1937-06-01,    0.969
1937-07-01,    0.145
1937-08-01,   -0.454
1937-09-01,    0.113
1937-10-01,    0.487
1937-11-01,    0.573
1937-12-01,    1.266
1938-01-01,    1.178
1938-02-01,    0.343
1938-03-01,   -0.190
1938-04-01,    0.134
1938-05-01,   -0.426
1938-06-01,   -0.347
1938-07-01,   -0.228
1938-08-01,   -0.418
1938-09-01,    0.099
1938-10-01,    0.557
1938-11-01,    0.200
1938-12-01,    0.629
1939-01-01,    0.768
1939-02-01,   -0.378
1939-03-01,   -0.410
1939-04-01,    0.152
1939-05-01,    0.550
1939-06-01,    0.311
1939-07-01,   -0.090
1939-08-01,   -0.387
1939-09-01,   -0.590
1939-10-01,   -0.823
1939-11-01,    0.056
1939-12-01,    1.829
1940-01-01,    1.715
1940-02-01,    1.882
1940-03-01,    1.956
1940-04-01,    1.957
1940-05-01,    2.136
1940-06-01,    2.469
1940-07-01,    1.733
1940-08-01,    1.313
1940-09-01,    1.280
1940-10-01,    1.482
1940-11-01,    1.610
1940-12-01,    1.903
1941-01-01,    2.297
1941-02-01,    2.365
1941-03-01,    2.209
1941-04-01,    2.171
1941-05-01,    2.178
1941-06-01,    2.107
1941-07-01,    2.727
1941-08-01,    3.241
1941-09-01,    2.101
1941-10-01,    1.821
1941-11-01,    1.701
1941-12-01,    2.203
1942-01-01,    1.991
1942-02-01,    0.932
1942-03-01,    1.275
1942-04-01,    0.863
1942-05-01,    1.317
1942-06-01,    0.884
1942-07-01,    0.548
1942-08-01,    0.328
1942-09-01,    0.298
1942-10-01,    0.057
1942-11-01,   -0.048
1942-12-01,   -0.392
1943-01-01,   -0.242
1943-02-01,    0.480
1943-03-01,    0.474
1943-04-01,    0.346
1943-05-01,    0.192
1943-06-01,   -0.453
1943-07-01,   -0.627
1943-08-01,   -1.290
1943-09-01,   -0.442
1943-10-01,    0.181
1943-11-01,    0.350
1943-12-01,    0.509
1944-01-01,    0.625
1944-02-01,   -0.158
1944-03-01,    0.024
